НАЗВА ПОЛЯ,ТИП,ФОРМАТ,ЗМІСТ,КОМЕНТАР
**DECLAR**, , , ,Начало документа
**DECLARHEAD**, , , ,Основная информация по документу (начало блока)
TIN, , ,Код платника,"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
C_DOC, ,Рядок,Код документа,"J12 – податкова накладна (юр. особа), F12 – податкова накладна (фіз. особа)"
C_DOC_SUB, ,Рядок,Підтип документа,Відповідає значенню елемента C_DOC_SUB з довідника звітних документів
C_DOC_VER, ,Рядок,Номер версії,Відповідає значенню елемента C_DOC_VER з довідника звітних документів
C_DOC_TYPE, ,Число позитивне,№ нового звітного документа,"Для першого поданого (звітного) документа в періоді значення даного елемента дорівнює 0, кожний наступний новий звітний (уточнюючий) документ цього ж типу для даного звітного періоду має значення цього елемента, збільшеного на одиницю "
C_DOC_CNT, ,Число позитивне,№ однотипного документа в періоді,"Якщо в одному звітному періоді подається кілька однотипних документів, то значення даного елемента містить порядковий номер для кожного документа в даному періоді. Перший (звітний) документ має номер 1. При формуванні електронного документа, що є новим звітним (уточнюючим) до поданого раніше (звітного) (значення елемента C_DOC_TYPE 0), нумерація однотипних документів в періоді (значення елемента C_DOC_CNT) повинна залишатись незмінною щодо нумерації звітного документа, показники якого виправляються"
C_REG, , ,Код області ДПІ отримувача,Код області заповнюється згідно з довідником державних податкових інспекцій
C_RAJ, , ,Код адміністративного району ДПІ отримувача,Код адміністративного району заповнюється згідно з довідником державних податкових інспекцій
PERIOD_MONTH, , ,Звітній місяць,"Звітним місяцем вважається останній місяць у звітному періоді (для місяців - це порядковий номер місяця, для I, II, III, IV кварталів - це 3, 6, 9, 12 місяць відповідно, для I та II півріч - 6 та 12 відповідно, для 9 місяців - 9, для року - 12)"
PERIOD_TYPE, , ,Тип звітного періоду,"1-місяць, 2-квартал, 3-півріччя, 4 - дев'ять місяців, 5-рік"
PERIOD_YEAR, , ,Звітний рік,Формат рррр
C_STI_ORIG, , ,"Код ДПІ, до якої подається оригінал документа","Код ДПІ вибирається з довідника інспекцій, є числовим значенням, яке відповідає формулі: значення елемента C_REG*100 + значення елемента C_RAJ"
C_DOC_STAN, , ,Стан документа,"Приймає фіксовані значення:
• 1 - звітний документ
• 2 - новий звітний документ
• 3 - уточнюючий документ"
LINKED_DOCS, , ,"Перелік пов’язаних документів. Даний елемент є вузловим і складається з ряду елементів з іменем DOC, кожний з яких містить інформацію про окремий","Містить відповідний  перелік документів:
для основного документа – посилання на додатки, які подаються до нього;
для додатка – посилання на основний документ;
для квитанції – на документ, що квитується.
Елемент DOC має обов’язкові атрибути :
NUM - Номер пов’язаного документа в переліку
TYPE - Тип зв’язку. Даний атрибут приймає фіксовані значення :
1 – посилання на додаток,
2 – посилання на основний документ,
3 – посилання на документ, що квитувався"
D_FILL, ,Дата (ДДММРРРР), ,Дата заповнення документа платником
SOFTWARE, , ,Сигнатура програмного забезпечення,"Текстовий рядок - ідентифікатор програмного засобу, за допомогою якого сформовано документ"
**DECLARHEAD**, , , ,Основная информация по документу (окончание блока)
**DECLARBODY**, , , ,Содержание документа (начало блока)
R01G1, ,Число від 1 до 9,Зведена податкова накладна,"1 – так, 0 – ні"
R03G10S, ,Рядок,"Складена на операції, звільнені від оподаткування","Ставиться помітка ""Без ПДВ"" у разі складання податкової накладної на операції з постачання товарів/послуг, які звільняються від оподаткування (п. 17 Порядку № 1307)"
HORIG1, , ,Позначка «Видається покупцю»,"1 – так, 0 – ні"
HTYPR, , ,Залишається у продавця (тип причини),"Зазначається тип причини:
01 - Збільшення компенсації вартості поставлених товарів/послуг;
02 - Постачання неплатнику податку;
03 - Постачання товарів/послуг у рахунок оплати праці фізичним особам, які перебувають у трудових відносинах із платником податку;
04 - Постачання у межах балансу для невиробничого використання;
05 - Ліквідація основних засобів за самостійним рішенням платника податку;
06 - Переведення виробничих основних засобів до складу невиробничих;
07 -  Вивезення товарів за межі митної території України;
08 - Постачання для операцій, які не є об'єктом оподаткування податком на додану вартість;
09 - Постачання для операцій, які звільнені від оподаткування податком на додану вартість;
10 - Визначення при анулюванні реєстрації платника податку податкових зобов'язань за товарами/послугами, необоротними активами, суми податку по яких були включені до складу податкового кредиту та не були використані в оподатковуваних операціях у межах господарської діяльності;
11 - Складена за щоденними підсумками операцій.
12 - Постачання неплатнику, в якій зазначається назва покупця;
13 - Використання виробничих або невиробничих засобів, інших товарів/послуг не в господарській діяльності;
14 - Складена отримувачем (покупцем) послуг від нерезидента;
15 - Складена на суму перевищення ціни придбання товарів/послуг над фактичною ціною їх постачання;
16 - Складена на суму перевищення балансової (залишкової) вартості необоротних активів над фактичною ціною їх постачання;
17 - Складена на суму перевищення собівартості самостійно виготовлених товарів/послуг над фактичною ціною їх постачання
В інших випадках у верхній лівій частині податкової накладної тип причини не зазначається (нулі, прочерки та інші знаки чи символи не проставляються)"
HERPN0, , ,Відмітка: Підлягає реєстрації в ЄРПН постачальником (продавцем),"1 – так, 0 – ні"
HERPN, , ,Відмітка: Підлягає реєстрації в ЄРПН отримувачем (покупцем),"1 – так, 0 – ні"
HFILL, ,Дата (ДДММРРРР),Дата виписки податкової накладної, 
HNUM, ,Ціле число,Порядковый номер ПН, 
HNUM1, ,Ціле число,Код діяльностi, 
HPODFILL, ,Дата (ДДММРРРР),Дата виписки РКПН, 
HPODNUM, ,Ціле число,Порядковый номер РКПН, 
HPODNUM1, ,Ціле число,Код діяльностi, 
HPODNUM2, ,Ціле число,Числовий номер філії, 
HNAMESEL, , ,Особа (платник податку) - продавець,"Найменування; прізвище, ім'я, по батькові - для фізичної особи-підприємця)"
HNAMEBUY, , ,Особа (платник податку) - покупець,"Найменування; прізвище, ім'я, по батькові - для фізичної особи-підприємця)"
HKSEL, ,Ціле число,Індивідуальний податковий номер продавця, 
HTINSEL,M,Ціле число (10),Податковий номер платника або серія і номер паспорта,"Загальний тип ""Код ЄДРПОУ (ДРФО підприємця: числа, або № паспорта)"". На WEB у блоці ""Продавець"", заповнюється із GLN номера (код ЄДРПОУ)"
HKBUY, ,Ціле число,Індивідуальний податковий номер покупця, 
HTINBUY,М,Ціле число (10),Податковий номер платника або серія і номер паспорта ,"Загальний тип ""Код ЄДРПОУ (ДРФО підприємця: числа, або № паспорта)"". На WEB у блоці ""Покупець"", заповнюється із GLN номера (код ЄДРПОУ) "
HFBUY, ,Ціле число,Код філії покупця, 
HNUM2, ,Ціле число,Числовий номер філії, 
R001G03, ,Число з плаваючою точкою,Сума коригування,"Сума коригування податкового зобов'язання та податкового кредиту (- / +), у тому числі: R02G9 та R02G111."
R02G9, ,Число з плаваючою точкою,Сума коригування за основною ставкою,"Сума коригування податкового зобов'язання та податкового кредиту за основною ставкою (- / +). Тег R02G9 заповнюється складанням усіх тегів RXXXXG11_10 по позиціях, для яких у тегу RXXXXG008 вказано 20% ставка, після чого значення округляються до 2-х знаків після коми включно"
R02G111, ,Число з плаваючою точкою,Сума коригування за ставкою 7 %,"Сума коригування податкового зобов'язання та податкового кредиту за ставкою 7 % (- / +). Тег R02G111 заповнюється складанням усіх тегів RXXXXG11_10 по позиціях, для яких у тегу RXXXXG008 вказано 7% ставка, після чого значення округляються до 2-х знаків після коми включно"
R01G9, ,Число з плаваючою точкою,"Усього підлягають коригуванню обсяги постачання без урахування податку на додану вартість, що оподатковуються за основною ставкою (-) (+) (код ставки 20)","Підсумкова сума повинна сходитись з сумою документа-підстави (інакше помилки):
- при формуванні DECLARJ12 на основі COMDOC012 різниця між R01G9 і ВсьогоПоДокументу/СумаБезПДВ повинна складати 0 грн
- при формуванні DECLARJ12 на основі DOCCORINVOICE різниця між R01G9 і CorrectionTaxableAmount не повинна перевищувати 0.02 грн"
R01G111, ,Число з плаваючою точкою,"Усього підлягають коригуванню обсяги постачання без урахування податку на додану вартість, що оподатковуються за ставкою 7 % (-) (+) (код ставки 7)","Підсумкова сума повинна сходитись з сумою документа-підстави (інакше помилки):
- при формуванні DECLARJ12 на основі COMDOC012 різниця між R01G111 і ВсьогоПоДокументу/СумаБезПДВ повинна складати 0 грн
- при формуванні DECLARJ12 на основі DOCCORINVOICE різниця між R01G111 і CorrectionTaxableAmount не повинна перевищувати 0.02 грн"
R006G03, ,Число з плаваючою точкою,"Усього підлягають коригуванню обсяги постачання без урахування податку на додану вартість, що оподатковуються за ставкою 0 % (-) (+) (код ставки 901)","Підсумкова сума повинна сходитись з сумою документа-підстави (інакше помилки):
- при формуванні DECLARJ12 на основі COMDOC012 різниця між R006G03 і ВсьогоПоДокументу/СумаБезПДВ повинна складати 0 грн
- при формуванні DECLARJ12 на основі DOCCORINVOICE різниця між R006G03 і CorrectionTaxableAmount не повинна перевищувати 0.02 грн"
R007G03, ,Число з плаваючою точкою,"Усього підлягають коригуванню обсяги постачання без урахування податку на додану вартість, що оподатковуються за ставкою 0% (-) (+) (код ставки 902)","Підсумкова сума повинна сходитись з сумою документа-підстави (інакше помилки):
- при формуванні DECLARJ12 на основі COMDOC012 різниця між R007G03 і ВсьогоПоДокументу/СумаБезПДВ повинна складати 0 грн
- при формуванні DECLARJ12 на основі DOCCORINVOICE різниця між R007G03 і CorrectionTaxableAmount не повинна перевищувати 0.02 грн"
R01G11, ,Число з плаваючою точкою,"Усього підлягають коригуванню обсяги операцій, звільнених від оподаткування (-) (+) (код ставки 903)","Підсумкова сума повинна сходитись з сумою документа-підстави (інакше помилки):
- при формуванні DECLARJ12 на основі COMDOC012 різниця між R01G11 і ВсьогоПоДокументу/СумаБезПДВ повинна складати 0 грн
- при формуванні DECLARJ12 на основі DOCCORINVOICE різниця між R01G11 і CorrectionTaxableAmount не повинна перевищувати 0.02 грн"
RXXXXG001, , ,"Номер рядка податкової накладної, що коригується або додається", 
RXXXXG21,М,Число від 1 до ... 9999,Код причини,"Причина коригування:
101 - Зміна ціни
102 - Зміна кількості 
103 - Повернення товару або авансових платежів  
104 - Зміна номенклатури 
201 - Коригування зведеної податкової накладної, складеної відповідно до пункту 198.5 статті 198 ПКУ
202 - Коригування зведеної податкової накладної, складеної відповідно до пункту 199.1 статті 199 ПКУ
203 - Коригування зведеної податкової накладної, складеної відповідно до абзацу 11 пункту 201.4 статті 201 ПКУ
301 - Виправлення помилки (пункт 24 Порядку заповнення податкової накладної)
302 - Усунення неоднозначностей
303 - Зменшення обсягу при нульовій кількості
304 - Зменшення кількості при нульовому обсягу"
RXXXXG22,М,Число від 1 до ... 9999,Номер групи коригування,"В колонці дві позиції (з документа-підстави і дубльована), що складають групу і нумеруються однаковим числом"
RXXXXG3S, , ,Найменування товару/послуги,Номенклатура товарів/послуг продавця
RXXXXG4, , ,Код товару згідно з УКТ ЗЕД товару, 
RXXXXG4S, , ,Одиниця виміру товару, 
RXXXXG105_2S, , ,Текст, 
RXXXXG5, ,Число з плаваючою точкою,Кількість товарів,"Кількість (об'єм, обсяг). В разі виписки податкової накладної на послуги, використовується тег: RXXXXG5S"
RXXXXG6, ,Число з плаваючою точкою,Ціна позиції без урахування ПДВ,Ціна постачання одиниці товару / послуги без урахування ПДВ
RXXXXG7, ,Число з плаваючою точкою,Зміна ціни (-) (+),Зміна ціни (-) (+) при коригуванні вартості
RXXXXG8, ,Число з плаваючою точкою,Кількість постачання товарів/послуг,Кількість постачання товарів/послуг при коригуванні вартості
RXXXXG008, ,Ціле число,Ставка ПДВ, 
RXXXXG009, ,Ціле число,Код пільги R003G10S, 
RXXXXG010, ,Число з плаваючою точкою,Графа 10 = Графа 6 * Графа 7,Сума без ПДВ
RXXXXG11_10, ,"Число, 6 знаків після коми",Сума податку на додану вартість, 
R0301G1D, ,Дата (ДДММРРРР),Дата складання податкової накладної, 
R0301G2, ,Число від 1 до ... 9999999,Порядковий номер податкової накладної, 
R0301G3, ,Число,Порядковий номер податкової накладної,"Ознака спеціальної податкової накладної. Допустимі значення: 2, 3, 4, 5, 7"
R0301G4, ,Число від 1 до ... 9999,Порядковий номер податкової накладної, 
R0301G5, , ,Реєстраційний номер податкової накладної, 
R0302G1D, ,Дата (ДДММРРРР),Дата складання розрахунку коригування до податкової накладної, 
R0302G2, ,Число від 1 до ... 9999999,Порядковий номер розрахунку коригування , 
R0302G3, ,Число,Порядковий номер розрахунку коригування , 
R0302G4, ,Число від 1 до ... 9999,Порядковий номер розрахунку коригування, 
R0302G5, , ,Реєстраційний номер розрахунку коригування, 
HBOS, ,Рядок,"Прізвище особи, яка склала податкову накладну", 
HKBOS, ,Ціле число,Реєстраційний номер облікової картки платника податків, 
R003G10S, ,Рядок,"Відповідні пункти, якими передбачено звільнення від оподаткування", 
**DECLARBODY**, , , ,Содержание документа (окончание блока)
**DECLAR**, , , ,Окончание документа
