Параметр,Формат,Описание
.. _Identificator: , Объект **Identificator**,
guid,String,GUID организации
taxNum,String,Налоговый идентификационный номер; строка 50 символов
ndsNum,String,№ свидетельства НДС; строка 50 символов
manager,String,ФИО менеджера; строка 100 символов
accountant,String,ФИО бухгалтера; строка 100 символов
id,long,ID пользователя
gln,String,"GLN организации, которая связана с авторизированным пользователем? ; строка 13 символов"
companyId,long,id аккаунта; число
retailerId,long,id сети (ритейлера); число
name,String,название организации; строка 100 символов
companyType,String,"форма собственности; строка 5 символов; jur - Юридическое лицо, fiz - Физическое лицо"
companyInn,String,код ИНН компании; строка 50 символов
companyKpp,String,код ЕГРПОУ/КПП; строка 50 символов
companyOgrn,String,Основной Государственный Регистрационный Номер; строка 15 символов
companyTaxDepartmentID,String,идентификатор отделения налоговой инспекции
dirLastName,String,фамилия директора; строка 150 символов
dirFirstName,String,имя директора; строка 150 символов
apartment,String,квартира; строка 20 символов
zip,String,почтовый индекс; строка 20 символов
city,String,город; строка 50 символов
street,String,название улицы; строка 100 символов
regionCode,String,код региона; строка 3 символа
bankName,String,название банка; строка 100 символов
bankMfo,String,"МФО банка, код-реквизит банка"
phone,String,№ телефона; строка 50 символов
bankAccount,String,расчетный счет банка; строка 50 символов
otherInfo,String,комментарии
email,String,E-mail; строка 255 символов
metroCode,String,код точки доставки; строка 20 символов