Название полей,Тип,Формат,Описание
**RETINS**, , ,Начало документа
NUMBER,M,Строка (16),Номер документа
DATE,M,Дата (ГГГГ-ММ-ДД),Дата документа
RETURNDATE,O,Дата (ГГГГ-ММ-ДД),Дата возврата
RETURNTIME,O,Время (чч:мм),Время возврата
RETANNNUMBER,O,Строка (16),Номер ув. о возврате
RETANNDATE,O,Дата (ГГГГ-ММ-ДД),Дата ув. о возврате
TOTALRETURNWEIGHT,O,Число десятичное,Общий вес возвращаемого товара
CAMPAIGNNUMBER,O,Строка (16),Номер договора поставщика с закупщиком
INFO,O,Строка (70),Дополнительная информация
VERSION,О,Число положительное ,"(% style=""color:#c0392b"" %)Версия документа??"
**HEAD**, , ,Начало основного блока
SUPPLIER,M,Число (13),GLN поставщика
BUYER,M,Число (13),GLN покупателя
DELIVERYPLACE,M,Число (13),GLN места доставки
SENDER,M,Число (13),GLN отправителя
RECIPIENT,M,Число (13),GLN получателя
**POSITION**, , ,Товарные позиции (начало блока)
POSITIONNUMBER,M,Число положительное,Номер позиции
PRODUCT,M,Число (13),Штрихкод продукта
PRODUCTIDSUPPLIER,O,Строка (16),Артикул в БД постовщика
PRODUCTIDBUYER,O,Строка (16),Артикул в БД покупателя
RETURNQUANTITY,M,Число десятичное,Возвращенное кол-во
RETURNQUANTITYUNIT,O,Строка (3),Единица измерения
DESCRIPTION,O,Строка (70),Описание продукта
AMOUNTWITHVAT,О,Строка (16),Стоимость позиции с НДС
**ACTION**, , ,Действия (начало блока)
CODE,O,Число (3),"Код действия:
12Е — возврат принят,
13Е — утилизировать товар,
14Е — уничтожить товар,
15Е — ремонт товара,
16Е — задержать на экспертизу, 17Е — в возврате отказано"
DESCRIPTION,O,Строка (70),Описание причины
**ACTION**, , ,Действия (окончание блока)
**POSITION**, , ,Товарные позиции (окончание блока)
**HEAD**, , ,Окончание основного блока
**RETINS**, , ,Окончание документа