"Сеть\\ Тип док.","**O
R
D
E
R
S**","**O
R
D
R
S
P**","**D
E
S
A
D
V**","**R
E
C
A
D
V**","**I
N
V
O
I
C
E**","**R
E
T
A
N
N**","**C
O
A
C
S
U**","**I
F
T
M
I
N**","**P
R**
**I
C
A
T**","**R
E 
T 
I 
N
N**","**I
N
S
D
E
S**","**C
O
M
D
O
C**","**C
O
M
D
O
C
T
Y
P
E** ","**D
E
C
L
A
R**","**D
E
C
L
A
R
j
12**","**P
R
I
C
A
T**","**С
е
р
т
и
ф
и
к
а
т
ы**"
"ТОВ ОЛІМП-ТРЕЙД","✔","✔","✔",,,,,,,,,,,,,,
"Абсолют","✔","✔",,,,,,,,,,,,,,,
"ТОВ Параллель-М ЛТД","✔",,"✔",,,,,,,,,,,,,,
"ФЛП Везунчик","✔",,"✔",,,,,,,,,,,,,,
"Фокстрот","✔","✔","✔",,,,,,"✔",,,,,,,,
"Фуршет","✔","✔",,,"✔",,,,,,,"✔","007
030","✔",,,
"ОККО-НАФТОПРОДУКТ","✔","✔","✔",,"✔","✔",,,,,,"✔","007
012"," ",,,
"Ашан","✔",,,,,,,,,,,,,,,,
"Варус (ОМЕГА)","✔",,,,"✔",,,,,,,,,,,"-",
"Салют","✔","✔",,,,,,,,,,,,,,"-",
"Наш Край","✔",,,,,,,,,,,,,,,"-",
"ПАККО Холдинг","✔","✔","✔","✔",,,,,,,,"✔","007; 012","✔",,"-",
"Салатейра","✔",,"✔",,,,,,,,,"✔","007; 012",,,,
"ТОВ ДІЄСА(Ельдорадо)","✔","✔",,,,,,,,,,,,,,,
"Розетка","✔","✔","✔","✔",,,,,,,,"✔",6,,,,
"Дивиал 2000","✔","✔","✔",,,,,,,,,,,,,,
"Львівхолод","✔","✔","✔","✔",,,,,,,,"✔",7,,,,
"Стиль Д(Простор)","✔","✔","✔",,,"✔",,,,"✔",,"✔","016;  013;
015;  006;
007; 008; 
012",,,"✔",
"ГудВайн ( Бюро Вин)","✔","✔","✔"," ",,,,,,,,,,,,,
"Таврія  В","✔","✔","✔",,,,,,"✔
",,,"✔","007
","✔",,,
"АТБ-маркет(РЦ)","✔","✔","✔","✔",,"✔",,,,"✔","✔",,,,,"-",
"Руш (Ева) ","✔",,,,"✔",,,,,,,,,,,"-",
"АТБ-Магазины","✔",,"✔",,,,,,,,,,,,,"-",
"Лукойл(Амик)","✔","✔","✔","✔","✔","✔",,,,,,,,,,,
"Шик и блеск","✔","✔","✔",,,,,,,,,"✔",8,,,"✔",
"Shell","✔","✔",,,"✔",,,,,,,,,,,,
"Пчелка маркет","✔","✔","✔",,,"✔",,,,,,,,,,,
"Нова Лінія, ЕПІЦЕНТР","✔","✔","✔",,,,,,,,,,,,,,
"Мегаполис Украина",,,,,,,,,,,,,,,,,
"ТОВ «Фірмова мережа» Київхліб»","✔",,"✔","✔",,,,,,,,,,,,,
"МЕТРО","✔",,"✔","✔",,,,,,,,,,"✔",,"✔",
"Новус Украина","✔","✔","✔","✔",,,,,,,,"✔","007; 019;
008;","✔",,"✔",
"Велика Кишеня","✔","✔","✔",,,,,,,,,"✔","007; 005;
008 ","✔","✔",,
"ЕКО-МАРКЕТ","✔","✔","✔",,,"✔",,,,,,"✔",7,,,,
"Економ плюс","✔","✔","✔",,,,,,,,,,,,,,"✔"
"Класс  (ТОВ Укр Трейд (ID19874))","✔",,"✔",,,,,,,,,"✔","007
",,,"✔","✔"
"КОНТИНЕНТ-ТОРГ","✔","✔",,,,"✔",,,,,,,,,,,
"Колос","✔",,"✔",,,,,,,,,"✔",,,,"✔",
"Український Рітейл","✔","✔","✔",,,,,,,,,,,,,,
"Ватсонс(ДЦ)","✔",,,"✔","✔",,,,,,,,,,,"-",
"ТОВ УЖГОРОД П.С.Ю","✔","✔","✔",,,,,,,,,,,,,,
"WOG","✔","✔","✔",,,,,,,,,,,,,"-",
"Альянс маркет(Євротек)","✔","✔"," ",,"✔",,,,,,,,,,,,
"Маркет Плюс","✔",,"✔",,,,,,,,,,,,,,
"Sokar","✔","✔","✔",,,,,,,,,,,,,"✔","✔"
"Мережа Сервіс Львів (Близенько)","✔","✔","✔",,"✔","✔",,,,,,,,,,,
"Вересень плюс","✔","✔","✔",,"✔",,,,,,,"✔","007; 012",,,"✔","✔"
"Етана південь","✔",,"✔",,,,,,,,,,,,,,
"Идеал","✔",,"✔",,,,,,,,,,,,,"-",
"ГЛУСКО РІТЕЙЛ","✔","✔","✔",,,,,,,,,,,,,,"✔"
"Аттика","✔","✔","✔",,,,,,,,,,,,,,
"ТОВ ЧЕРНІГІВТОРГ","✔","✔","✔",,,,,,,,,,,,,,
"
МАССМАРТ","✔",,,,,,,,,,,,,,,,
"Pampik ","✔","✔","✔",,,,,,,,,,,,,,
"Дигма","✔",,"✔",,"✔",,,,,,,"✔","007; 009;
012; 016;
018; ",,,,
"Аргон(Грош)","✔","✔","✔",,,,,,,,,"✔",,,,"✔",
"Копійка","✔",,"✔",,,,,,,,,,,,,,
"Білла","✔",,"✔","✔",,,,,,,,,,,,"-",
" КЛЕВЕР СТОРС","✔","✔","✔","✔",,,,,,,,"✔","007; 009;","✔",,,
"Аптеки 911(Осан)","✔","✔","✔",,,,,,,,,,,,,,
"Аттика","✔","✔","✔",,,,,,,,,,,,,,
"СТЕЙТ ОІЛ","✔","✔","✔",,,,,,,,,,,,,,
"Восторг","✔",,"✔",,,,,,,,,,,,,"-",
"Експансія","✔","✔",,,,,,,,,,,,,,"-",
"ЛОТОК ( ЛК-ТРАНС)","✔","✔","✔",,,,,,,,,,,,,,
"Сільпо","✔","✔",,,,,,,,,,,,,,"-",
"Сильпо РЦ","✔","✔",,,,"✔",,"✔",,"✔",,,,,,"-",
"Фора","✔","✔",,,,,,,,,,,,,,"-",
"Два шага","✔","✔","✔",,,,,,,,,,,,,,
"Суматра","✔",,"✔",,,,,,,,,,,,,,
"Траш","✔","✔",,,,,,,,,,,,,,"-",
"ГВЕДЕОН","✔","✔",,,,,,,,,,,,,,,
"ТОВ МАНГО-ГРУП","✔","✔","✔",,,,,,,,,"✔",7,,,"✔",
"ТОВ АРІТЕЙЛ                ","✔","✔","✔",,"✔",,,,,,,,,,,,
"ФЛАГМАН СТОР","✔","✔","✔","✔",,"✔",,,,,,,,,,,
"ТОВ ГОРПРЕСА","✔",,,,"✔",,,,,,,,,,,,
"АКОРД-2017","✔","✔","✔",,,,,,,,,,,,,,"✔"
"Fresh Food Market
(БМХ)","✔",,"✔",,,,,,,,,,,,,,
"ТОВ ЛА ФАРІНА","✔","✔","✔","✔",,,,,,,,,,,,,"✔"
"СУШИЯ","✔","✔","✔","✔",,,,,,,,"✔","007; 012 ;",,,,
"ТД ""Аванта""","✔","✔","✔",,,,,,,,,,,,,,
"ТАМ-ТАМ","✔","✔","✔",,,,,,,,,,,,,,
"ТОВ Крамниця Добра-2","✔",,"✔",,,,,,,,,,,,,,
"ЛОТОС ТРЕЙД","✔","✔","✔",,,,,,,,,,,,,,
"ПІТЛАЙН (АВІАС)","✔",,,,,,,,,,,,,,,,
"ТОВ Смак-Плюс","✔","✔",,,,,,,,,,,,,,,
"ТОВ ІНТЕГРАЛ ГРУПП(Плюс маркет)","✔","✔","✔",,,,,,,,,,,,,,
"ТОВ ТС ПЛЮС","✔",,"✔",,,,,,,,,,,,,,
"ФОП ГАСПАРЯН КАМО УСИКОВИЧ
(ТС Абрикос)","✔","✔","✔",,,,,,,,,,,,,,
"Компания СІТІ ФУД ТРЕЙД","✔",,"✔",,,,,,,,,"✔","007; 012",,,,
"Компания САН ОЙЛ","✔","✔","✔",,,,,,,,,,,,,,
"33м2 (СТРОЙ ОПТ)","✔","✔",,,,,,,,,,,,,,,
"ТзОВ ""Рітейл Україна"" ""Свій Маркет""","✔","✔","✔",,,,,,,,,,,,,,
"ТОВ АЛЬФА-ЗАБАВА(Будинок Іграшок)","✔","✔","✔",,,,,,,,,,,,,,
"--- HORNBACH","✔",,"✔",,"✔",,,,,,,,,,,,
"ТОВ СІГМАСТЕЛС, (""РОСТ"")","✔","✔","✔",,,,,,,,,,,,,,
"ТОВ ХАВІ МАРКЕТ (Баскет)","✔","✔","✔","✔",,,,,,,,,,,,,
"Сеть\\ Тип док.","**O
R
D
E
R
S**","**O
R
D
R
S
P**","**D
E
S
A
D
V**","**R
E
C
A
D
V**","**I
N
V
O
I
C
E**","**R
E
T
A
N
N**","**C
O
A
C
S
U**","**I
F
T
M
I
N**","**P
R**
**I
C
A
T**","**R
E 
T 
I 
N
N**","**I
N
S
D
E
S**","**C
O
M
D
O
C**","**C
O
M
D
O
C
T
Y
P
E** ","**D
E
C
L
A
R**","**D
E
C
L
A
R
j
12**","**P
R
I
C
A
T**","**С
е
р
т
и
ф
и
к
а
т
ы**"
